birdId,birdName,scientificName
1,Wandering Albatross,Diomedea exulans
2,Tristan Albatross,Diomedea dabbenena
3,Amsterdam Albatross,Diomedea amsterdamensis
4,Southern Royal Albatross,Diomedea epomophora
5,Northern Royal Albatross,Diomedea sanfordi
6,Shy Albatross,Thalassarche cauta
7,Salvin's Albatross,Thalassarche salvini
8,Chatham Albatross,Thalassarche eremita
9,Black-browed Albatross,Thalassarche melanophris
10,Grey-headed Albatross,Thalassarche chrysostoma
11,Buller's Albatross,Thalassarche bulleri
12,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
13,Indian Yellow-nosed Albatross,Thalassarche carteri
14,Laysan Albatross,Phoebastria immutabilis
15,Light-mantled Albatross,Phoebetria palpebrata
16,Sooty Albatross,Phoebetria fusca
17,Northern Giant Petrel,Macronectes halli
18,Southern Giant Petrel,Macronectes giganteus
19,Cape Petrel,Daption capense
20,Antarctic Petrel,Thalassoica antarctica
21,Southern Fulmar,Fulmarus glacialoides
22,Grey Petrel,Procellaria cinerea
23,White-chinned Petrel,Procellaria aequinoctialis
24,Spectacled Petrel,Procellaria conspicillata
25,Great-winged Petrel,Pterodroma macroptera
26,Atlantic Petrel,Pterodroma incerta
27,Trindade Petrel,Pterodroma arminjoniana
28,Tahiti Petrel,Pseudobulweria rostrata
29,Kerguelen Petrel,Aphrodroma brevirostris
30,Soft-plumaged Petrel,Pterodroma mollis
31,White-headed Petrel,Pterodroma lessonii
32,Barau's Petrel,Pterodroma baraui
33,Bulwer's Petrel,Bulweria bulwerii
34,Jouanin's Petrel,Bulweria fallax
35,Cory's Shearwater,Calonectris borealis
36,Scopoli's Shearwater,Calonectris diomedea
37,Streaked Shearwater,Calonectris leucomelas
38,Great Shearwater,Ardenna gravis
39,Flesh-footed Shearwater,Ardenna carneipes
40,Wedge-tailed Shearwater,Ardenna pacifica
41,Sooty Shearwater,Ardenna grisea
42,Short-tailed Shearwater,Ardenna tenuirostris
43,Balearic Shearwater,Puffinus mauretanicus
44,Manx Shearwater,Puffinus puffinus
45,Tropical Shearwater,Puffinus bailloni
46,Little Shearwater,Puffinus assimilis
47,Subantarctic Shearwater,Puffinus elegans
48,Blue Petrel,Halobaena caerulea
49,Broad-billed Prion,Pachyptila vittata
50,Salvin's Prion,Pachyptila salvini
51,Antarctic Prion,Pachyptila desolata
52,Slender-billed Prion,Pachyptila belcheri
53,Fairy Prion,Pachyptila turtur
54,Common Diving petrel,Pelecanoides urinatrix
55,South Georgia Diving Petrel,Pelecanoides georgicus
56,European Storm Petrel,Hydrobates pelagicus
57,Wilson's Storm Petrel,Oceanites oceanicus
58,Leach's Storm Petrel,Hydrobates leucorhoa
59,Band-rumped Storm Petrel,Hydrobates castro
60,Swinhoe's Storm Petrel,Hydrobates monorhis
61,Matsudaira's Storm Petrel,Hydrobates matsudairae
62,Black-bellied Storm Petrel,Fregetta tropica
63,White-bellied Storm Petrel,Fregetta grallaria
64,Grey-backed Storm Petrel,Garrodia nereis
65,White-faced Storm Petrel,Pelagodroma marina
66,Red-billed Tropicbird,Phaethon aethereus
67,Red-tailed Tropicbird,Phaethon rubricauda
68,White-tailed Tropicbird,Phaethon lepturus
69,Greater Frigatebird,Fregata minor
70,Lesser Frigatebird,Fregata ariel
71,Cape Gannet,Morus capensis
72,Australasian Gannet,Morus serrator
73,Masked Booby,Sula dactylatra
74,Red-footed Booby,Sula sula
75,Brown Booby,Sula leucogaster
76,Brown Skua,Stercorarius antarcticus
77,South Polar Skua,Stercorarius maccormicki
78,Pomarine Jaeger,Stercorarius pomarinus
79,Parasitic Jaeger,Stercorarius parasiticus
80,Long-tailed Jaeger,Stercorarius longicaudus
81,Kelp Gull,Larus dominicanus
82,Lesser Black-backed Gull,Larus fuscus
83,Hartlaub's Gull,Chroicocephalus hartlaubii
84,Grey-headed Gull,Chroicocephalus cirrocephalus
85,Slender-billed Gull,Chroicocephalus genei
86,Black-headed Gull,Chroicocephalus ridibundus
87,Franklin's Gull,Leucophaeus pipixcan
88,Sooty Gull,Ichthyaetus hemprichii
89,Sabine's Gull,Xema sabini
90,Black-legged Kittiwake,Rissa tridactyla
91,Gull-billed Tern,Gelochelidon nilotica
92,Caspian Tern,Hydroprogne caspia
93,West African Crested Tern,Thalasseus albididorsalis
94,Swift Tern,Thalasseus bergii
95,Lesser Crested Tern,Thalasseus bengalensis
96,Elegant Tern,Thalasseus elegans
97,Sandwich Tern,Thalasseus sandvicensis
98,Common Tern,Sterna hirundo
